x_1,x_2,y
2.911808537,60.35961272,0
3.774745539,344.1492843,0
2.615488284,178.2220868,0
2.013693756,15.25947155,0
2.757625043,66.19417399,0
0.973922459,41.67766519,0
3.067274686,143.2755899,0
2.763094081,35.96990594,0
2.775771503,29.56907921,0
2.109829946,76.63672138,0
3.006262782,107.3829632,0
4.415774676,148.957882,0
2.31433469,79.24692536,0
2.888480488,63.01109005,0
1.539773586,19.77567822,0
1.798539929,84.14172897,0
2.702089078,55.74518237,0
3.555457838,142.4995049,0
2.553711833,48.2333977,0
2.470140521,24.36272067,0
3.605656888,174.9324326,0
1.621086267,9.149728823,0
2.469077773,31.14217714,0
4.528597144,535.53423,0
2.96733404,31.90797949,0
3.82198852,90.13742445,0
1.732772699,35.68206672,0
3.967968201,331.5610459,0
3.916161309,285.5837733,0
2.440680376,43.35654947,0
1.851534581,21.7029483,0
2.137837858,121.1475285,0
1.143403106,19.52623875,0
1.122026674,61.55081046,0
3.078520791,119.7852486,0
2.117735397,101.3660378,0
2.042344458,18.1395687,0
2.067747253,36.64247789,0
3.708706066,116.5658406,0
3.151786711,171.0079058,0
3.447712308,94.58892754,0
4.8580364,655.8087512,0
4.16012046,215.9937746,0
2.989940464,354.0886991,0
4.832526288,270.8637551,0
2.566489568,60.39310014,0
3.865683967,84.74997409,0
2.922337704,150.1983788,0
0.275481861,4.027855554,0
3.627957243,139.0448199,0
3.854919906,29.94753498,0
1.467391518,29.46943655,0
2.491049725,78.22199695,0
2.567866448,24.66488158,0
2.571811845,31.5005132,0
1.407032424,25.6878564,0
2.373024239,128.5291019,0
3.219398168,195.0402329,0
2.005564881,18.31343318,0
1.685127608,80.58094528,0
2.826893202,166.67933,0
3.046705704,20.01877799,0
2.521402265,48.8041074,0
2.840677975,53.09805238,0
1.919487322,66.92850269,0
3.617980267,206.9804467,0
3.311169344,122.1170992,0
3.305802786,159.0861747,0
2.896558177,114.5803979,0
2.80424376,171.7799567,0
1.668225719,50.23591961,0
2.870240303,65.10805375,0
3.031515705,229.5928187,0
2.24768991,57.66087165,0
4.765254995,121.647909,0
2.189185068,65.21701456,0
2.149940256,109.6825509,0
3.570173511,77.94823874,0
2.419570215,41.53260552,0
3.528994411,99.51381829,0
4.481477201,286.0312546,0
3.172510516,214.4188928,0
2.307174795,54.6799792,0
3.064766697,77.65159142,0
4.135683665,215.7709778,0
1.8993274,110.2967875,0
3.848174599,40.85442166,0
3.897610989,238.1231668,0
2.196976546,98.08248628,0
1.808949879,13.57140449,0
3.06689947,212.7236371,0
4.022825851,84.70880148,0
2.686612209,109.1355047,0
3.188040877,51.81211433,0
3.430594134,163.0786832,0
3.279515569,44.52186664,0
3.21872656,120.9590239,0
2.262315786,89.1629544,0
2.138223029,82.23561022,0
2.119627719,79.73646551,0
3.300297703,55.08316212,0
2.880258021,159.2107627,0
1.216116639,68.95771636,0
3.156378199,33.93285343,0
2.05365845,20.74611092,0
1.327597407,22.70068541,0
5.039049566,755.4389007,0
2.350113866,27.70370072,0
1.983077199,19.95492757,0
2.15128118,55.01485567,0
4.528058624,377.6509146,0
3.123008839,28.59548901,0
2.325852621,125.1288629,0
1.975790054,266.8297089,0
1.89549481,16.45263303,0
2.517002434,58.39994458,0
3.506381314,260.6947536,0
2.186485235,47.53470643,0
1.442014709,26.58968603,0
2.969554436,116.3780362,0
1.970513202,59.89485468,0
2.639976921,59.20689644,0
3.669393505,163.6611295,0
3.77403148,190.9875742,0
3.436575644,184.5061393,0
2.926675391,35.65498061,0
3.532606429,76.43573403,0
2.621810288,43.65924495,0
2.559014615,193.0325074,0
3.458912613,120.7098071,0
4.503767345,60.91146601,0
2.799124507,60.09821451,0
4.677507731,284.0692138,0
4.389267484,52.60927346,0
3.222429387,271.4371761,0
3.141323042,138.1622685,0
3.682467262,53.68564026,0
3.355225766,141.1915448,0
2.604406732,86.72422682,0
5.44886896,539.8361809,0
2.023769854,136.2273031,0
1.960543545,62.76088658,0
1.940607265,306.3859382,0
3.642003724,114.2881405,0
3.975653903,131.0863925,0
2.685142208,235.9106277,0
3.107409224,59.17746367,0
1.633819877,48.95038657,0
2.696760465,25.58295593,0
2.196720273,45.98770179,0
2.723411018,97.43845164,0
2.88418564,149.6216483,0
2.043573873,51.00588163,0
2.420934507,31.76060324,0
3.232234231,64.80308409,0
4.130236085,228.4785469,0
2.317078529,21.8035182,0
5.054654905,898.5726673,0
1.617047684,21.71158754,0
2.80110871,18.33258429,0
2.205205145,98.74495126,0
3.087025109,32.98431491,0
2.311131584,24.97751497,0
3.739161778,108.1477884,0
3.39819047,213.3466019,0
1.086098477,55.00059254,0
3.321511387,197.0060192,0
1.734046617,104.0778859,0
1.642770003,22.25967258,0
3.937447501,125.2617968,0
3.474662686,220.6984329,0
1.764004836,97.68814694,0
1.653707805,8.066158403,0
2.870325738,136.2080024,0
4.344021659,186.9082387,0
4.251562914,175.9072616,0
3.032933964,175.681814,0
2.344916743,42.27620335,0
1.555028406,94.95687878,0
2.316138369,17.56696545,0
2.25551289,14.43585138,0
2.585907234,87.55436466,0
4.581511867,369.9837814,0
-0.517463899,11.47967053,0
2.871360895,16.71911299,0
1.162169889,28.55100057,0
2.977145178,242.582033,0
2.90597212,53.1855954,0
3.479332526,61.17809622,0
3.443592794,131.7369823,0
3.303679605,32.88075813,0
2.136183127,94.12278003,0
2.72477861,106.8625525,0
2.579973924,200.1180075,0
3.461866756,65.15282619,0
4.414880783,213.6312251,0
2.658014567,59.92472417,0
3.609199461,25.48867419,0
4.368004181,284.6507253,0
3.124368023,259.7824606,0
2.834647076,41.41161565,0
2.752990343,43.49496114,0
2.607664481,135.3878889,0
2.357310605,58.3873043,0
3.174540756,295.1868555,0
3.891184691,146.9429297,0
1.708189359,52.4371375,0
2.831174141,102.4020402,0
2.702210947,92.28519474,0
2.867385104,65.72810591,0
3.590146971,74.08491252,0
3.832348968,248.6324136,0
3.719958492,206.0709745,0
5.124265147,672.1817165,0
3.261280878,187.71452,0
0.788934439,16.71274807,0
2.813811063,131.6086045,0
2.964553188,141.3549042,0
3.433100505,202.0980803,0
3.021738065,144.3415302,0
2.63348815,38.94006544,0
3.155012997,350.1277667,0
4.337922733,320.5865847,0
2.097730134,33.27059585,0
1.794505848,26.57897072,0
2.125493576,89.12643899,0
3.716987139,204.1836129,0
4.398251976,125.341929,0
1.033517864,18.47307254,0
2.883730646,52.55420603,0
2.616664372,99.74027199,0
5.551533907,236.1663745,0
5.4913906,198.816271,0
1.217728203,14.82459638,0
3.296751498,159.9162632,0
1.022852253,22.43329156,0
3.245695231,31.77564333,0
3.068827449,71.21107177,0
3.188908872,151.4589386,0
1.413819074,10.47008052,0
3.204428332,84.70474705,0
4.243441634,174.8346088,0
4.350942057,215.8994832,0
3.064158513,107.0688849,0
1.210220229,65.35518725,0
2.624764725,134.7199529,0
5.501124708,463.324801,0
3.508837745,63.66870793,0
5.001513909,347.7076196,0
3.654892564,185.9520851,0
3.533258183,681.3099139,0
3.785306436,134.556162,0
4.001748564,119.4808523,0
2.923684658,107.2815449,0
3.253880779,71.05274331,0
2.582423934,53.14220078,0
2.830525651,695.364628,0
3.914618798,90.38932972,0
1.401326867,32.90030124,0
2.71452583,48.77934477,0
4.54721521,319.2662459,0
4.802730522,162.7311829,0
1.910098797,116.3773213,0
1.863448576,53.52065161,0
3.516716515,257.652505,0
4.090759025,58.585151,0
3.126384296,137.7347874,0
2.243197426,61.72812418,0
4.121468158,177.8423349,0
3.004212687,118.2674496,0
1.298523992,21.78358747,0
2.989240145,172.2281678,0
